,website,category,reachableornot,reason,requires_authentication,notes
1050,bahn.de,travel,yes,,no,
1051,trip.com,travel,yes,,no,
1052,emirates.com,travel,no,,,
1053,getyourguide.com/,travel,yes,,no,
1062,priceline.com/,travel,yes,,no,
1064,qatarairways.com,travel,no,,,
1065,aeroflot.ru,travel,no,,,
1066,lyft.net,travel,no,,,
1067,travelocity.com/,travel,yes,,no,
1069,theculturetrip.com/,travel,yes,,no,
1075,cntraveler.com,travel,no,,,
1076,mountain.com/,travel,yes,,no,
1095,hotwire.com,travel,yes,,no,
1096,wyndhamhotels.com/,travel,yes,,no,
1098,aviasales.ru,travel,yes,,google,
1099,aircanada.com,travel,no,,,
1100,scitation.org,travel,yes,,yes,
1101,sabre.com,travel,no,,,
1102,turo.com,travel,yes,,no,
1103,fourseasons.com/,travel,yes,,no,
